# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-1.00000E+01	-1.00008E+01	5.00000E+02	1.43081E+06	2.00639E+02	-8.76444E+05	1.43553E+02	3.63183E-10	9.90922E-11	-1.42355E-05
-1.00000E+01	-1.00008E+01	1.00000E+03	1.01828E+06	2.78568E+01	-8.85388E+05	2.36356E+01	1.79757E-10	7.73908E-11	-1.42355E-05
-1.00000E+01	-1.00008E+01	1.00000E+04	3.88409E+04	1.72627E+00	-2.45814E+05	2.48193E+00	6.47461E-11	6.31690E-11	-1.42355E-05
-2.00000E+01	-2.00002E+01	5.00000E+02	1.45101E+06	2.22657E+02	-1.19001E+06	1.84673E+02	2.67486E-10	1.07564E-10	-2.15890E-05
-2.00000E+01	-2.00002E+01	1.00000E+03	9.64274E+05	2.94591E+01	-1.03285E+06	3.18748E+01	1.54093E-10	8.23314E-11	-2.15890E-05
-2.00000E+01	-2.00002E+01	1.00000E+04	3.61609E+04	5.31413E-01	-2.46151E+05	1.16619E+00	6.46574E-11	6.32915E-11	-2.15890E-05
-3.00000E+01	-2.99233E+01	5.00000E+02	1.46065E+06	1.76635E+02	-1.41810E+06	2.33187E+02	2.24462E-10	1.08914E-10	-2.73508E-05
-3.00000E+01	-2.99233E+01	1.00000E+03	9.25799E+05	1.48243E+01	-1.13852E+06	2.09762E+01	1.39791E-10	8.41492E-11	-2.73508E-05
-3.00000E+01	-2.99233E+01	1.00000E+04	3.41028E+04	3.91918E-01	-2.46460E+05	7.48331E-01	6.45764E-11	6.33633E-11	-2.73508E-05
-4.00000E+01	-3.99268E+01	5.00000E+02	1.46515E+06	3.33191E+02	-1.60701E+06	1.39226E+02	1.98076E-10	1.08165E-10	-3.24321E-05
-4.00000E+01	-3.99268E+01	1.00000E+03	8.94031E+05	1.47241E+01	-1.22459E+06	2.92575E+01	1.29966E-10	8.47791E-11	-3.24321E-05
-4.00000E+01	-3.99268E+01	1.00000E+04	3.23602E+04	2.26363E+00	-2.46748E+05	7.73046E+00	6.45011E-11	6.34104E-11	-3.24321E-05
-5.00000E+01	-4.99357E+01	5.00000E+02	1.46625E+06	2.38378E+02	-1.76764E+06	1.78729E+02	1.80076E-10	1.06676E-10	-3.70815E-05
-5.00000E+01	-4.99357E+01	1.00000E+03	8.66854E+05	2.02445E+01	-1.29692E+06	4.95580E+01	1.22717E-10	8.48228E-11	-3.70815E-05
-5.00000E+01	-4.99357E+01	1.00000E+04	3.08513E+04	6.04649E-01	-2.47006E+05	1.16619E+00	6.44336E-11	6.34438E-11	-3.70815E-05
-6.00000E+01	-5.99183E+01	5.00000E+02	1.46556E+06	2.51364E+02	-1.90708E+06	1.87574E+02	1.66910E-10	1.04937E-10	-4.13928E-05
-6.00000E+01	-5.99183E+01	1.00000E+03	8.43127E+05	1.61047E+01	-1.35912E+06	5.30660E+01	1.17101E-10	8.45600E-11	-4.13928E-05
-6.00000E+01	-5.99183E+01	1.00000E+04	2.95264E+04	1.36909E+00	-2.47247E+05	1.41421E+00	6.43708E-11	6.34657E-11	-4.13928E-05
-7.00000E+01	-6.99250E+01	5.00000E+02	1.46414E+06	2.15815E+02	-2.03118E+06	2.61885E+02	1.56711E-10	1.03127E-10	-4.55099E-05
-7.00000E+01	-6.99250E+01	1.00000E+03	8.21907E+05	2.37655E+01	-1.41405E+06	6.11228E+01	1.12552E-10	8.41298E-11	-4.55099E-05
-7.00000E+01	-6.99250E+01	1.00000E+04	2.83351E+04	9.26067E-01	-2.47475E+05	7.48331E-01	6.43116E-11	6.34794E-11	-4.55099E-05
-8.00000E+01	-7.99331E+01	5.00000E+02	1.46231E+06	2.80956E+02	-2.14369E+06	3.47310E+02	1.48487E-10	1.01334E-10	-4.94473E-05
-8.00000E+01	-7.99331E+01	1.00000E+03	8.02613E+05	2.60000E+01	-1.46337E+06	5.35164E+01	1.08759E-10	8.36084E-11	-4.94473E-05
-8.00000E+01	-7.99331E+01	1.00000E+04	2.72540E+04	2.52982E-01	-2.47690E+05	1.16619E+00	6.42556E-11	6.34870E-11	-4.94473E-05
-9.00000E+01	-8.99230E+01	5.00000E+02	1.45965E+06	1.60250E+02	-2.24548E+06	3.23333E+02	1.41756E-10	9.96491E-11	-5.32465E-05
-9.00000E+01	-8.99230E+01	1.00000E+03	7.85063E+05	1.67523E+01	-1.50747E+06	3.37046E+01	1.05577E-10	8.30525E-11	-5.32465E-05
-9.00000E+01	-8.99230E+01	1.00000E+04	2.62777E+04	1.74516E+00	-2.47888E+05	1.60000E+00	6.42043E-11	6.34909E-11	-5.32465E-05
-1.00000E+02	-9.99324E+01	5.00000E+02	1.45669E+06	2.73027E+02	-2.33901E+06	2.25973E+02	1.36088E-10	9.80558E-11	-5.69602E-05
-1.00000E+02	-9.99324E+01	1.00000E+03	7.68905E+05	3.15303E+01	-1.54783E+06	2.05913E+01	1.02824E-10	8.24724E-11	-5.69602E-05
-1.00000E+02	-9.99324E+01	1.00000E+04	2.53667E+04	6.71118E-01	-2.48081E+05	4.89898E-01	6.41545E-11	6.34907E-11	-5.69602E-05
-1.10000E+02	-1.09938E+02	5.00000E+02	1.45419E+06	2.86817E+02	-2.42498E+06	2.59800E+02	1.31263E-10	9.65448E-11	-6.05408E-05
-1.10000E+02	-1.09938E+02	1.00000E+03	7.53956E+05	2.17862E+01	-1.58477E+06	4.04969E+01	1.00428E-10	8.18923E-11	-6.05408E-05
-1.10000E+02	-1.09938E+02	1.00000E+04	2.45224E+04	9.68297E-01	-2.48265E+05	8.00000E-01	6.41070E-11	6.34876E-11	-6.05408E-05
-1.20000E+02	-1.19926E+02	5.00000E+02	1.45116E+06	3.48574E+02	-2.50532E+06	3.08701E+02	1.27054E-10	9.51351E-11	-6.40538E-05
-1.20000E+02	-1.19926E+02	1.00000E+03	7.40165E+05	2.89095E+01	-1.61890E+06	2.87054E+01	9.83108E-11	8.13134E-11	-6.40538E-05
-1.20000E+02	-1.19926E+02	1.00000E+04	2.37388E+04	9.89141E-01	-2.48440E+05	6.32456E-01	6.40617E-11	6.34821E-11	-6.40538E-05
-1.30000E+02	-1.29934E+02	5.00000E+02	1.44817E+06	2.33803E+02	-2.57993E+06	2.00260E+02	1.23379E-10	9.38187E-11	-6.74888E-05
-1.30000E+02	-1.29934E+02	1.00000E+03	7.27224E+05	2.27420E+01	-1.65053E+06	2.60768E+01	9.64266E-11	8.07506E-11	-6.74888E-05
-1.30000E+02	-1.29934E+02	1.00000E+04	2.30030E+04	2.65330E-01	-2.48608E+05	4.89898E-01	6.40185E-11	6.34751E-11	-6.74888E-05
-1.40000E+02	-1.39941E+02	5.00000E+02	1.44511E+06	2.66188E+02	-2.64919E+06	2.78783E+02	1.20154E-10	9.25996E-11	-7.08810E-05
-1.40000E+02	-1.39941E+02	1.00000E+03	7.15259E+05	3.11897E+01	-1.67988E+06	2.92575E+01	9.47420E-11	8.02022E-11	-7.08810E-05
-1.40000E+02	-1.39941E+02	1.00000E+04	2.23151E+04	1.10743E+00	-2.48767E+05	1.49666E+00	6.39774E-11	6.34667E-11	-7.08810E-05
-1.50000E+02	-1.49932E+02	5.00000E+02	1.44279E+06	2.30877E+02	-2.71430E+06	2.89386E+02	1.17271E-10	9.14364E-11	-7.42149E-05
-1.50000E+02	-1.49932E+02	1.00000E+03	7.04061E+05	4.11096E+01	-1.70721E+06	1.41421E+01	9.32252E-11	7.96744E-11	-7.42149E-05
-1.50000E+02	-1.49932E+02	1.00000E+04	2.16725E+04	9.37230E-01	-2.48920E+05	1.32665E+00	6.39382E-11	6.34572E-11	-7.42149E-05
-1.60000E+02	-1.59940E+02	5.00000E+02	1.44028E+06	2.34350E+02	-2.77555E+06	3.12704E+02	1.14683E-10	9.03535E-11	-7.75285E-05
-1.60000E+02	-1.59940E+02	1.00000E+03	6.93607E+05	5.09407E+01	-1.73282E+06	3.84708E+01	9.18474E-11	7.91637E-11	-7.75285E-05
-1.60000E+02	-1.59940E+02	1.00000E+04	2.10659E+04	1.68404E+00	-2.49065E+05	1.16619E+00	6.39009E-11	6.34470E-11	-7.75285E-05
-1.70000E+02	-1.69951E+02	5.00000E+02	1.43799E+06	2.45878E+02	-2.83226E+06	2.36186E+02	1.12387E-10	8.93537E-11	-8.08241E-05
-1.70000E+02	-1.69951E+02	1.00000E+03	6.83833E+05	2.52618E+01	-1.75679E+06	3.82623E+01	9.05944E-11	7.86739E-11	-8.08241E-05
-1.70000E+02	-1.69951E+02	1.00000E+04	2.04927E+04	9.74474E-01	-2.49205E+05	4.89898E-01	6.38650E-11	6.34360E-11	-8.08241E-05
-1.80000E+02	-1.79941E+02	5.00000E+02	1.43643E+06	2.63469E+02	-2.88658E+06	1.90053E+02	1.10272E-10	8.83855E-11	-8.40522E-05
-1.80000E+02	-1.79941E+02	1.00000E+03	6.74784E+05	1.63046E+01	-1.77952E+06	2.71293E+01	8.94369E-11	7.81936E-11	-8.40522E-05
-1.80000E+02	-1.79941E+02	1.00000E+04	1.99479E+04	1.54609E+00	-2.49343E+05	1.35647E+00	6.38298E-11	6.34239E-11	-8.40522E-05
-1.90000E+02	-1.89946E+02	5.00000E+02	1.43472E+06	2.94306E+02	-2.93746E+06	3.89184E+02	1.08362E-10	8.74908E-11	-8.72929E-05
-1.90000E+02	-1.89946E+02	1.00000E+03	6.66279E+05	4.49106E+01	-1.80091E+06	2.63818E+01	8.83746E-11	7.77346E-11	-8.72929E-05
-1.90000E+02	-1.89946E+02	1.00000E+04	1.94292E+04	1.12712E+00	-2.49474E+05	1.09545E+00	6.37962E-11	6.34116E-11	-8.72929E-05
-2.00000E+02	-1.99954E+02	5.00000E+02	1.43347E+06	4.38798E+02	-2.98557E+06	3.81859E+02	1.06616E-10	8.66425E-11	-9.05180E-05
-2.00000E+02	-1.99954E+02	1.00000E+03	6.58396E+05	2.56250E+01	-1.82113E+06	5.38145E+01	8.73936E-11	7.72912E-11	-9.05180E-05
-2.00000E+02	-1.99954E+02	1.00000E+04	1.89394E+04	5.87878E-01	-2.49601E+05	7.48331E-01	6.37638E-11	6.33988E-11	-9.05180E-05
-2.10000E+02	-2.09943E+02	5.00000E+02	1.43263E+06	2.43097E+02	-3.03111E+06	3.60522E+02	1.05014E-10	8.58387E-11	-9.37788E-05
-2.10000E+02	-2.09943E+02	1.00000E+03	6.50966E+05	4.71483E+01	-1.84034E+06	3.76298E+01	8.64814E-11	7.68642E-11	-9.37788E-05
-2.10000E+02	-2.09943E+02	1.00000E+04	1.84680E+04	9.22171E-01	-2.49723E+05	8.00000E-01	6.37325E-11	6.33858E-11	-9.37788E-05
-2.20000E+02	-2.19953E+02	5.00000E+02	1.43211E+06	4.60365E+02	-3.07475E+06	2.24446E+02	1.03524E-10	8.50691E-11	-9.71070E-05
-2.20000E+02	-2.19953E+02	1.00000E+03	6.43967E+05	1.80820E+01	-1.85875E+06	5.49909E+01	8.56249E-11	7.64488E-11	-9.71070E-05
-2.20000E+02	-2.19953E+02	1.00000E+04	1.80170E+04	1.62284E+00	-2.49842E+05	8.94427E-01	6.37022E-11	6.33727E-11	-9.71070E-05
-2.30000E+02	-2.29959E+02	5.00000E+02	1.43106E+06	7.93887E+02	-3.11607E+06	3.34760E+02	1.02151E-10	8.43588E-11	-1.00846E-04
-2.30000E+02	-2.29959E+02	1.00000E+03	6.37428E+05	2.03509E+01	-1.87629E+06	6.03324E+01	8.48243E-11	7.60473E-11	-1.00846E-04
-2.30000E+02	-2.29959E+02	1.00000E+04	1.75828E+04	6.73498E-01	-2.49956E+05	9.79796E-01	6.36731E-11	6.33596E-11	-1.00846E-04
-2.40000E+02	-2.36840E+02	5.00000E+02	1.43085E+06	4.05887E+02	-3.15496E+06	5.69996E+02	1.00892E-10	8.36802E-11	-1.29053E-04
-2.40000E+02	-2.36840E+02	1.00000E+03	6.31313E+05	1.53728E+02	-1.89311E+06	4.36348E+01	8.40708E-11	7.56571E-11	-1.29053E-04
-2.40000E+02	-2.36840E+02	1.00000E+04	1.71599E+04	7.16659E-01	-2.50064E+05	1.16619E+00	6.36456E-11	6.33473E-11	-1.29053E-04
-2.50000E+02	-2.49945E+02	5.00000E+02	1.43270E+06	3.28475E+02	-3.19267E+06	2.83450E+02	9.97001E-11	8.29884E-11	-1.05822E-04
-2.50000E+02	-2.49945E+02	1.00000E+03	6.25662E+05	3.50805E+01	-1.90924E+06	4.11825E+01	8.33605E-11	7.52766E-11	-1.05822E-04
-2.50000E+02	-2.49945E+02	1.00000E+04	1.67570E+04	7.31027E-01	-2.50173E+05	1.32665E+00	6.36179E-11	6.33338E-11	-1.05822E-04
-2.60000E+02	-2.59955E+02	5.00000E+02	1.43349E+06	2.91177E+02	-3.22890E+06	4.29353E+02	9.85814E-11	8.23505E-11	-1.08900E-04
-2.60000E+02	-2.59955E+02	1.00000E+03	6.20234E+05	8.86341E+00	-1.92472E+06	5.70614E+01	8.26898E-11	7.49109E-11	-1.08900E-04
-2.60000E+02	-2.59955E+02	1.00000E+04	1.63680E+04	9.35094E-01	-2.50279E+05	8.00000E-01	6.35911E-11	6.33203E-11	-1.08900E-04
-2.70000E+02	-2.69940E+02	5.00000E+02	1.43461E+06	3.25540E+02	-3.26313E+06	2.06262E+02	9.75475E-11	8.17470E-11	-1.11955E-04
-2.70000E+02	-2.69940E+02	1.00000E+03	6.15228E+05	3.15443E+01	-1.93947E+06	5.08331E+01	8.20609E-11	7.45585E-11	-1.11955E-04
-2.70000E+02	-2.69940E+02	1.00000E+04	1.60010E+04	1.68095E+00	-2.50379E+05	4.92341E+00	6.35655E-11	6.33070E-11	-1.11955E-04
-2.80000E+02	-2.79947E+02	5.00000E+02	1.43600E+06	3.89697E+02	-3.29589E+06	4.09751E+02	9.65778E-11	8.11694E-11	-1.15035E-04
-2.80000E+02	-2.79947E+02	1.00000E+03	6.10442E+05	2.37436E+01	-1.95372E+06	3.91918E+01	8.14624E-11	7.42170E-11	-1.15035E-04
-2.80000E+02	-2.79947E+02	1.00000E+04	1.56405E+04	9.00222E-01	-2.50474E+05	1.01980E+00	6.35416E-11	6.32948E-11	-1.15035E-04
-2.90000E+02	-2.89955E+02	5.00000E+02	1.43759E+06	4.34539E+02	-3.32763E+06	2.49110E+02	9.56567E-11	8.06116E-11	-1.18099E-04
-2.90000E+02	-2.89955E+02	1.00000E+03	6.05994E+05	2.59276E+01	-1.96769E+06	6.24820E+01	8.08843E-11	7.38773E-11	-1.18099E-04
-2.90000E+02	-2.89955E+02	1.00000E+04	1.52858E+04	1.07963E+00	-2.50570E+05	2.72764E+00	6.35173E-11	6.32818E-11	-1.18099E-04
-3.00000E+02	-2.99943E+02	5.00000E+02	1.43948E+06	4.01497E+02	-3.35800E+06	3.67696E+02	9.47915E-11	8.00767E-11	-1.21161E-04
-3.00000E+02	-2.99943E+02	1.00000E+03	6.01757E+05	6.11281E+01	-1.98107E+06	3.00666E+01	8.03377E-11	7.35514E-11	-1.21161E-04
-3.00000E+02	-2.99943E+02	1.00000E+04	1.49441E+04	1.24193E+00	-2.50660E+05	7.48331E-01	6.34944E-11	6.32695E-11	-1.21161E-04
-3.10000E+02	-3.09953E+02	5.00000E+02	1.44184E+06	3.33527E+02	-3.38803E+06	4.05019E+02	9.39513E-11	7.95450E-11	-1.24206E-04
-3.10000E+02	-3.09953E+02	1.00000E+03	5.97823E+05	5.00000E+01	-1.99415E+06	5.00400E+01	7.98108E-11	7.32294E-11	-1.24206E-04
-3.10000E+02	-3.09953E+02	1.00000E+04	1.46119E+04	1.42492E+00	-2.50750E+05	6.32456E-01	6.34716E-11	6.32568E-11	-1.24206E-04
-3.20000E+02	-3.19963E+02	5.00000E+02	1.44422E+06	2.96877E+02	-3.41612E+06	5.43860E+02	9.31787E-11	7.90500E-11	-1.27326E-04
-3.20000E+02	-3.19963E+02	1.00000E+03	5.94135E+05	5.54054E+01	-2.00687E+06	6.32456E+01	7.93051E-11	7.29144E-11	-1.27326E-04
-3.20000E+02	-3.19963E+02	1.00000E+04	1.42840E+04	5.74804E-01	-2.50836E+05	1.93907E+00	6.34498E-11	6.32447E-11	-1.27326E-04
-3.30000E+02	-3.29974E+02	5.00000E+02	1.44706E+06	2.45471E+02	-3.44411E+06	2.83789E+02	9.24215E-11	7.85542E-11	-1.30427E-04
