[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  
[15:02:01] [INFO ]  ------------------------------------------
[15:02:01] [INFO ]  Single CV Measurement
[15:02:01] [INFO ]  ------------------------------------------
[15:02:01] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  Start date          : 2022/03/22 15:02:01
[15:02:01] [INFO ]  User                : silicon
[15:02:01] [INFO ]  Host                : HGC-PC
[15:02:01] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[15:02:01] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_150201/log.txt
[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  Initialising device.
[15:02:02] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[15:02:02] [INFO ]  Initialising device.
[15:02:02] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[15:02:02] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[15:02:02] [INFO ]  Power Supply current limit:      1.00E-03 A
[15:02:02] [INFO ]  LCR measurement voltage:         5.00E-01 V
[15:02:02] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[15:02:02] [INFO ]  Voltage Delay:                       3.00 s
[15:02:02] [INFO ]  	
[15:02:02] [INFO ]  	
[15:02:02] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[15:02:02] [INFO ]  ---------------------------------------------------------------------------------------------------------------------------------------------------
[15:02:09] [INFO ]  -1.00E+01	-1.00E+01	5.00E+02	1.43E+06	2.01E+02	-8.76E+05	1.44E+02	3.632E-10	9.909E-11	-1.42E-05
[15:02:10] [INFO ]  -1.00E+01	-1.00E+01	1.00E+03	1.02E+06	2.79E+01	-8.85E+05	2.36E+01	1.798E-10	7.739E-11	-1.42E-05
[15:02:11] [INFO ]  -1.00E+01	-1.00E+01	1.00E+04	3.88E+04	1.73E+00	-2.46E+05	2.48E+00	6.475E-11	6.317E-11	-1.42E-05
[15:02:17] [INFO ]  -2.00E+01	-2.00E+01	5.00E+02	1.45E+06	2.23E+02	-1.19E+06	1.85E+02	2.675E-10	1.076E-10	-2.16E-05
[15:02:19] [INFO ]  -2.00E+01	-2.00E+01	1.00E+03	9.64E+05	2.95E+01	-1.03E+06	3.19E+01	1.541E-10	8.233E-11	-2.16E-05
[15:02:20] [INFO ]  -2.00E+01	-2.00E+01	1.00E+04	3.62E+04	5.31E-01	-2.46E+05	1.17E+00	6.466E-11	6.329E-11	-2.16E-05
[15:02:26] [INFO ]  -3.00E+01	-2.99E+01	5.00E+02	1.46E+06	1.77E+02	-1.42E+06	2.33E+02	2.245E-10	1.089E-10	-2.74E-05
[15:02:28] [INFO ]  -3.00E+01	-2.99E+01	1.00E+03	9.26E+05	1.48E+01	-1.14E+06	2.10E+01	1.398E-10	8.415E-11	-2.74E-05
[15:02:29] [INFO ]  -3.00E+01	-2.99E+01	1.00E+04	3.41E+04	3.92E-01	-2.46E+05	7.48E-01	6.458E-11	6.336E-11	-2.74E-05
[15:02:35] [INFO ]  -4.00E+01	-3.99E+01	5.00E+02	1.47E+06	3.33E+02	-1.61E+06	1.39E+02	1.981E-10	1.082E-10	-3.24E-05
[15:02:37] [INFO ]  -4.00E+01	-3.99E+01	1.00E+03	8.94E+05	1.47E+01	-1.22E+06	2.93E+01	1.300E-10	8.478E-11	-3.24E-05
[15:02:38] [INFO ]  -4.00E+01	-3.99E+01	1.00E+04	3.24E+04	2.26E+00	-2.47E+05	7.73E+00	6.450E-11	6.341E-11	-3.24E-05
[15:02:44] [INFO ]  -5.00E+01	-4.99E+01	5.00E+02	1.47E+06	2.38E+02	-1.77E+06	1.79E+02	1.801E-10	1.067E-10	-3.71E-05
[15:02:46] [INFO ]  -5.00E+01	-4.99E+01	1.00E+03	8.67E+05	2.02E+01	-1.30E+06	4.96E+01	1.227E-10	8.482E-11	-3.71E-05
[15:02:47] [INFO ]  -5.00E+01	-4.99E+01	1.00E+04	3.09E+04	6.05E-01	-2.47E+05	1.17E+00	6.443E-11	6.344E-11	-3.71E-05
[15:02:53] [INFO ]  -6.00E+01	-5.99E+01	5.00E+02	1.47E+06	2.51E+02	-1.91E+06	1.88E+02	1.669E-10	1.049E-10	-4.14E-05
[15:02:55] [INFO ]  -6.00E+01	-5.99E+01	1.00E+03	8.43E+05	1.61E+01	-1.36E+06	5.31E+01	1.171E-10	8.456E-11	-4.14E-05
