# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-1.00000E+01	-1.00007E+01	1.00000E+04	4.56756E-11	1.85836E-14	5.38854E+06	5.60008E+04	-1.71743E-05
-1.00000E+01	-1.00007E+01	1.00000E+05	4.61125E-11	2.75681E-16	2.35800E+06	8.83525E+02	-1.71743E-05
-1.00000E+01	-1.00007E+01	1.00000E+06	4.60439E-11	2.40283E-15	2.29672E+05	1.18553E+03	-1.71743E-05
-2.00000E+01	-2.00001E+01	1.00000E+04	4.56453E-11	2.48523E-14	5.48537E+06	1.79601E+04	-2.56735E-05
-2.00000E+01	-2.00001E+01	1.00000E+05	4.61117E-11	4.02989E-16	2.39388E+06	8.99800E+02	-2.56735E-05
-2.00000E+01	-2.00001E+01	1.00000E+06	4.60442E-11	3.04592E-15	2.29039E+05	1.11160E+03	-2.56735E-05
-3.00000E+01	-2.99224E+01	1.00000E+04	4.56619E-11	1.97473E-14	5.64316E+06	3.82396E+04	-3.20836E-05
-3.00000E+01	-2.99224E+01	1.00000E+05	4.61106E-11	1.85472E-16	2.42983E+06	1.54693E+03	-3.20836E-05
-3.00000E+01	-2.99224E+01	1.00000E+06	4.60418E-11	2.53772E-15	2.29360E+05	7.51599E+02	-3.20836E-05
-4.00000E+01	-3.99241E+01	1.00000E+04	4.56332E-11	8.23179E-15	5.80505E+06	5.27651E+04	-3.76008E-05
-4.00000E+01	-3.99241E+01	1.00000E+05	4.61095E-11	1.85472E-16	2.46895E+06	2.02405E+03	-3.76008E-05
-4.00000E+01	-3.99241E+01	1.00000E+06	4.60431E-11	3.79768E-15	2.29577E+05	1.13162E+03	-3.76008E-05
-5.00000E+01	-4.99328E+01	1.00000E+04	4.56239E-11	1.44670E-14	5.91241E+06	5.25726E+04	-4.25105E-05
-5.00000E+01	-4.99328E+01	1.00000E+05	4.61080E-11	2.28035E-16	2.50470E+06	1.02067E+03	-4.25105E-05
-5.00000E+01	-4.99328E+01	1.00000E+06	4.60419E-11	1.59424E-15	2.29989E+05	1.62141E+03	-4.25105E-05
-6.00000E+01	-5.99116E+01	1.00000E+04	4.55812E-11	2.10816E-14	6.09075E+06	4.02523E+04	-4.69667E-05
-6.00000E+01	-5.99116E+01	1.00000E+05	4.61068E-11	5.46260E-16	2.54412E+06	2.33768E+03	-4.69667E-05
-6.00000E+01	-5.99116E+01	1.00000E+06	4.60405E-11	2.28333E-15	2.31446E+05	1.76106E+03	-4.69667E-05
-7.00000E+01	-6.99158E+01	1.00000E+04	4.55736E-11	1.93731E-14	6.20247E+06	1.98674E+04	-5.11592E-05
-7.00000E+01	-6.99158E+01	1.00000E+05	4.61059E-11	3.54401E-16	2.57739E+06	1.86324E+03	-5.11592E-05
-7.00000E+01	-6.99158E+01	1.00000E+06	4.60393E-11	4.30442E-15	2.30428E+05	1.64305E+03	-5.11592E-05
-8.00000E+01	-7.99243E+01	1.00000E+04	4.55544E-11	1.49324E-14	6.34039E+06	9.14473E+04	-5.50935E-05
-8.00000E+01	-7.99243E+01	1.00000E+05	4.61044E-11	3.70945E-16	2.60967E+06	1.46941E+03	-5.50935E-05
-8.00000E+01	-7.99243E+01	1.00000E+06	4.60437E-11	2.18449E-15	2.31919E+05	1.07723E+03	-5.50935E-05
-9.00000E+01	-8.99156E+01	1.00000E+04	4.55454E-11	3.41325E-14	6.53147E+06	3.55797E+04	-5.88522E-05
-9.00000E+01	-8.99156E+01	1.00000E+05	4.61034E-11	2.24499E-16	2.64208E+06	1.85729E+03	-5.88522E-05
-9.00000E+01	-8.99156E+01	1.00000E+06	4.60399E-11	5.05783E-15	2.31361E+05	9.99936E+02	-5.88522E-05
-1.00000E+02	-9.99257E+01	1.00000E+04	4.55394E-11	1.60963E-14	6.60940E+06	5.29982E+04	-6.24883E-05
-1.00000E+02	-9.99257E+01	1.00000E+05	4.61020E-11	4.07922E-16	2.66857E+06	2.14970E+03	-6.24883E-05
-1.00000E+02	-9.99257E+01	1.00000E+06	4.60423E-11	2.46447E-15	2.31890E+05	4.88893E+02	-6.24883E-05
-1.10000E+02	-1.09935E+02	1.00000E+04	4.55179E-11	2.98324E-14	6.71582E+06	2.49165E+04	-6.60345E-05
-1.10000E+02	-1.09935E+02	1.00000E+05	4.61004E-11	2.85657E-16	2.69635E+06	3.90542E+03	-6.60345E-05
-1.10000E+02	-1.09935E+02	1.00000E+06	4.60445E-11	3.95393E-15	2.32484E+05	7.45516E+02	-6.60345E-05
-1.20000E+02	-1.19924E+02	1.00000E+04	4.55098E-11	1.28052E-14	6.81487E+06	7.97572E+04	-6.94875E-05
-1.20000E+02	-1.19924E+02	1.00000E+05	4.61004E-11	4.42719E-16	2.72058E+06	1.84429E+03	-6.94875E-05
-1.20000E+02	-1.19924E+02	1.00000E+06	4.60403E-11	3.63670E-15	2.33050E+05	6.82550E+02	-6.94875E-05
-1.30000E+02	-1.29933E+02	1.00000E+04	4.55101E-11	2.62930E-14	6.98096E+06	5.84145E+04	-7.28848E-05
-1.30000E+02	-1.29933E+02	1.00000E+05	4.60992E-11	3.32265E-16	2.74289E+06	1.53624E+03	-7.28848E-05
-1.30000E+02	-1.29933E+02	1.00000E+06	4.60422E-11	3.87990E-15	2.31157E+05	1.06807E+03	-7.28848E-05
-1.40000E+02	-1.39943E+02	1.00000E+04	4.55049E-11	2.11902E-14	7.02054E+06	5.47813E+04	-7.62521E-05
-1.40000E+02	-1.39943E+02	1.00000E+05	4.60987E-11	3.49857E-16	2.76251E+06	1.39096E+03	-7.62521E-05
-1.40000E+02	-1.39943E+02	1.00000E+06	4.60428E-11	2.72074E-15	2.34262E+05	7.90731E+02	-7.62521E-05
-1.50000E+02	-1.49934E+02	1.00000E+04	4.55185E-11	1.12854E-14	7.05200E+06	4.01236E+04	-7.95842E-05
-1.50000E+02	-1.49934E+02	1.00000E+05	4.60982E-11	3.72022E-16	2.78133E+06	1.93387E+03	-7.95842E-05
-1.50000E+02	-1.49934E+02	1.00000E+06	4.60436E-11	2.56624E-15	2.33011E+05	1.22069E+03	-7.95842E-05
-1.60000E+02	-1.59940E+02	1.00000E+04	4.55183E-11	1.56345E-14	7.19136E+06	3.84010E+04	-8.28920E-05
-1.60000E+02	-1.59940E+02	1.00000E+05	4.60977E-11	3.89872E-16	2.79726E+06	1.75933E+03	-8.28920E-05
-1.60000E+02	-1.59940E+02	1.00000E+06	4.60408E-11	1.57556E-15	2.33057E+05	9.87963E+02	-8.28920E-05
-1.70000E+02	-1.69950E+02	1.00000E+04	4.55101E-11	2.75787E-14	7.27912E+06	8.17953E+04	-8.61785E-05
-1.70000E+02	-1.69950E+02	1.00000E+05	4.60971E-11	4.24264E-16	2.81285E+06	2.30723E+03	-8.61785E-05
-1.70000E+02	-1.69950E+02	1.00000E+06	4.60421E-11	2.60952E-15	2.33510E+05	1.17868E+03	-8.61785E-05
-1.80000E+02	-1.79936E+02	1.00000E+04	4.54873E-11	1.30877E-14	7.40877E+06	7.47957E+04	-8.94429E-05
-1.80000E+02	-1.79936E+02	1.00000E+05	4.60968E-11	2.71293E-16	2.82787E+06	1.97845E+03	-8.94429E-05
-1.80000E+02	-1.79936E+02	1.00000E+06	4.60425E-11	3.50234E-15	2.33175E+05	7.18623E+02	-8.94429E-05
