[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Single CV Measurement
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Multiple measurements of IV over a longer period.
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Start date          : 2022/03/22 14:13:06
[14:13:06] [INFO ]  User                : silicon
[14:13:06] [INFO ]  Host                : HGC-PC
[14:13:06] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[14:13:06] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/log.txt
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:13:07] [INFO ]  Measurement Settings:
[14:13:07] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:13:07] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:13:07] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:13:07] [INFO ]  Voltage Delay:                       3.00 s
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:13:07] [INFO ]  ------------------------------------------------------------------------------------------------------------------------------------------
[14:13:12] [INFO ]  -1.00E+01	-1.00E+01	1.00E+04	4.5676E-11	1.86E-14	5.39E+06	5.60E+04	-1.72E-05
[14:13:13] [INFO ]  -1.00E+01	-1.00E+01	1.00E+05	4.6112E-11	2.76E-16	2.36E+06	8.84E+02	-1.72E-05
[14:13:13] [INFO ]  -1.00E+01	-1.00E+01	1.00E+06	4.6044E-11	2.40E-15	2.30E+05	1.19E+03	-1.72E-05
[14:13:19] [INFO ]  -2.00E+01	-2.00E+01	1.00E+04	4.5645E-11	2.49E-14	5.49E+06	1.80E+04	-2.57E-05
[14:13:19] [INFO ]  -2.00E+01	-2.00E+01	1.00E+05	4.6112E-11	4.03E-16	2.39E+06	9.00E+02	-2.57E-05
[14:13:20] [INFO ]  -2.00E+01	-2.00E+01	1.00E+06	4.6044E-11	3.05E-15	2.29E+05	1.11E+03	-2.57E-05
[14:13:25] [INFO ]  -3.00E+01	-2.99E+01	1.00E+04	4.5662E-11	1.97E-14	5.64E+06	3.82E+04	-3.21E-05
[14:13:26] [INFO ]  -3.00E+01	-2.99E+01	1.00E+05	4.6111E-11	1.85E-16	2.43E+06	1.55E+03	-3.21E-05
[14:13:26] [INFO ]  -3.00E+01	-2.99E+01	1.00E+06	4.6042E-11	2.54E-15	2.29E+05	7.52E+02	-3.21E-05
[14:13:32] [INFO ]  -4.00E+01	-3.99E+01	1.00E+04	4.5633E-11	8.23E-15	5.81E+06	5.28E+04	-3.76E-05
