# Single IV
# 
# Measurement Settings:
# Power supply voltage limit:      2.10E+01 V
# Power supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Current [A]	Current Error [A]	Total Current[A]	
-1.00000E+01	-1.00007E+01	-3.49746E-06	6.56431E-10	-1.54192E-05
-2.00000E+01	-2.00001E+01	-5.17643E-06	2.79980E-10	-2.28238E-05
-3.00000E+01	-2.99220E+01	-6.47702E-06	2.42042E-10	-2.86748E-05
-4.00000E+01	-3.99245E+01	-7.61582E-06	1.26337E-10	-3.39152E-05
-5.00000E+01	-4.99318E+01	-8.64075E-06	3.60621E-10	-3.87325E-05
-6.00000E+01	-5.99109E+01	-9.58555E-06	2.34516E-10	-4.32510E-05
-7.00000E+01	-6.99159E+01	-1.04735E-05	7.97712E-10	-4.75640E-05
-8.00000E+01	-7.99253E+01	-1.13151E-05	5.28946E-10	-5.16901E-05
-9.00000E+01	-8.99157E+01	-1.21203E-05	7.59642E-10	-5.56523E-05
-1.00000E+02	-9.99264E+01	-1.28964E-05	6.06907E-10	-5.94844E-05
-1.10000E+02	-1.09935E+02	-1.36475E-05	6.58319E-10	-6.32029E-05
-1.20000E+02	-1.19924E+02	-1.43764E-05	1.00905E-09	-6.68202E-05
-1.30000E+02	-1.29933E+02	-1.50893E-05	8.73714E-10	-7.03570E-05
-1.40000E+02	-1.39942E+02	-1.57835E-05	1.14852E-09	-7.38255E-05
-1.50000E+02	-1.49934E+02	-1.64655E-05	7.17150E-10	-7.72329E-05
-1.60000E+02	-1.59941E+02	-1.71386E-05	7.98674E-10	-8.06143E-05
-1.70000E+02	-1.69950E+02	-1.77983E-05	9.28129E-10	-8.39455E-05
-1.80000E+02	-1.79938E+02	-1.84491E-05	7.60437E-10	-8.72331E-05
-1.90000E+02	-1.89942E+02	-1.90862E-05	1.04082E-09	-9.04787E-05
-2.00000E+02	-1.99950E+02	-1.97199E-05	1.06380E-09	-9.37131E-05
-2.10000E+02	-2.09938E+02	-2.03434E-05	1.26173E-09	-9.69205E-05
-2.20000E+02	-2.19946E+02	-2.09618E-05	6.94135E-10	-1.00092E-04
-2.30000E+02	-2.29502E+02	-2.15704E-05	1.08010E-09	-1.03262E-04
-2.40000E+02	-2.39931E+02	-2.21756E-05	3.13369E-10	-1.06401E-04
-2.50000E+02	-2.49940E+02	-2.27787E-05	3.99730E-10	-1.09540E-04
-2.60000E+02	-2.59951E+02	-2.33738E-05	5.38977E-10	-1.12660E-04
-2.70000E+02	-2.69937E+02	-2.39705E-05	4.03960E-10	-1.15791E-04
-2.80000E+02	-2.79945E+02	-2.45573E-05	1.09620E-09	-1.18893E-04
-2.90000E+02	-2.89954E+02	-2.51481E-05	9.10486E-10	-1.22022E-04
-3.00000E+02	-2.99944E+02	-2.57344E-05	1.81784E-09	-1.25149E-04
-3.10000E+02	-3.09954E+02	-2.63176E-05	2.82092E-10	-1.28240E-04
-3.20000E+02	-3.19962E+02	-2.69046E-05	6.79982E-10	-1.31379E-04
-3.30000E+02	-3.29972E+02	-2.74841E-05	1.15071E-09	-1.34527E-04
-3.40000E+02	-3.39957E+02	-2.80657E-05	1.01962E-09	-1.37666E-04
-3.50000E+02	-3.49966E+02	-2.86491E-05	1.25281E-09	-1.40860E-04
-3.60000E+02	-3.59976E+02	-2.92277E-05	7.33850E-10	-1.44041E-04
-3.70000E+02	-3.69965E+02	-2.98040E-05	5.97548E-10	-1.47236E-04
-3.80000E+02	-3.79973E+02	-3.03897E-05	1.54581E-09	-1.50510E-04
-3.90000E+02	-3.89980E+02	-3.09708E-05	4.29260E-10	-1.53763E-04
-4.00000E+02	-3.99971E+02	-3.15568E-05	1.15327E-09	-1.57091E-04
-4.10000E+02	-4.09979E+02	-3.21375E-05	2.80528E-10	-1.60406E-04
-4.20000E+02	-4.19983E+02	-3.27183E-05	1.85810E-09	-1.63766E-04
-4.30000E+02	-4.29973E+02	-3.33049E-05	7.93236E-10	-1.67165E-04
-4.40000E+02	-4.39981E+02	-3.38874E-05	1.58541E-09	-1.70607E-04
-4.50000E+02	-4.49990E+02	-3.44753E-05	9.86254E-10	-1.74066E-04
-4.60000E+02	-4.59979E+02	-3.50657E-05	4.69067E-10	-1.77585E-04
-4.70000E+02	-4.69987E+02	-3.56490E-05	2.62538E-09	-1.81133E-04
-4.80000E+02	-4.79993E+02	-3.62409E-05	9.43008E-10	-1.84722E-04
-4.90000E+02	-4.89977E+02	-3.68275E-05	7.16117E-10	-1.88350E-04
-5.00000E+02	-4.99985E+02	-3.74154E-05	2.00985E-09	-1.92030E-04
-5.10000E+02	-5.09993E+02	-3.80009E-05	8.80377E-10	-1.95760E-04
-5.20000E+02	-5.19982E+02	-3.85798E-05	8.51014E-10	-1.99481E-04
-5.30000E+02	-5.29987E+02	-3.91592E-05	1.60725E-09	-2.03259E-04
-5.40000E+02	-5.39996E+02	-3.97357E-05	2.24446E-10	-2.07072E-04
-5.50000E+02	-5.49986E+02	-4.03132E-05	1.37473E-09	-2.10989E-04
-5.60000E+02	-5.59994E+02	-4.08874E-05	2.77460E-10	-2.14919E-04
-5.70000E+02	-5.69998E+02	-4.14646E-05	2.04754E-09	-2.18899E-04
-5.80000E+02	-5.79986E+02	-4.20393E-05	8.47854E-10	-2.22928E-04
-5.90000E+02	-5.89995E+02	-4.26222E-05	1.63158E-09	-2.27093E-04
-6.00000E+02	-6.00003E+02	-4.31978E-05	1.45472E-09	-2.31359E-04
-6.10000E+02	-6.09992E+02	-4.37827E-05	6.66495E-10	-2.35719E-04
