[16:17:33] [INFO ]  	
[16:17:33] [INFO ]  ------------------------------------------
[16:17:33] [INFO ]  IV Scan
[16:17:33] [INFO ]  ------------------------------------------
[16:17:33] [INFO ]  Measurement of I-V curve for a single cell.
[16:17:33] [INFO ]  	
[16:17:33] [INFO ]  Start date          : 2022/03/22 16:17:33
[16:17:33] [INFO ]  User                : silicon
[16:17:33] [INFO ]  Host                : HGC-PC
[16:17:33] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[16:17:33] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_161733/log.txt
[16:17:33] [INFO ]  	
[16:17:33] [INFO ]  Initialising device.
[16:17:33] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[16:17:33] [INFO ]  Initialising device.
[16:17:34] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 6514,0804673,A11   Apr  3 2003 11:37:06/A02  /D
[16:17:34] [INFO ]  Measurement Settings:
[16:17:34] [INFO ]  Power supply voltage limit:      2.10E+01 V
[16:17:34] [INFO ]  Power supply current limit:      1.00E-03 A
[16:17:34] [INFO ]  Voltage Delay:                       2.00 s
[16:17:34] [INFO ]  	
[16:17:34] [INFO ]  	
[16:17:34] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Current [A]	Current Error [A]	Total Current[A]	
[16:17:34] [INFO ]  ----------------------------------------------------------------------------------------------------------
[16:17:40] [INFO ]  -1.00E+01	-1.00E+01	-3.497E-06	6.564E-10	-1.54E-05
[16:17:45] [INFO ]  -2.00E+01	-2.00E+01	-5.176E-06	2.800E-10	-2.28E-05
[16:17:51] [INFO ]  -3.00E+01	-2.99E+01	-6.477E-06	2.420E-10	-2.87E-05
[16:17:56] [INFO ]  -4.00E+01	-3.99E+01	-7.616E-06	1.263E-10	-3.39E-05
[16:18:02] [INFO ]  -5.00E+01	-4.99E+01	-8.641E-06	3.606E-10	-3.87E-05
[16:18:08] [INFO ]  -6.00E+01	-5.99E+01	-9.586E-06	2.345E-10	-4.33E-05
[16:18:14] [INFO ]  -7.00E+01	-6.99E+01	-1.047E-05	7.977E-10	-4.76E-05
[16:18:19] [INFO ]  -8.00E+01	-7.99E+01	-1.132E-05	5.289E-10	-5.17E-05
[16:18:25] [INFO ]  -9.00E+01	-8.99E+01	-1.212E-05	7.596E-10	-5.57E-05
[16:18:31] [INFO ]  -1.00E+02	-9.99E+01	-1.290E-05	6.069E-10	-5.95E-05
[16:18:36] [INFO ]  -1.10E+02	-1.10E+02	-1.365E-05	6.583E-10	-6.32E-05
[16:18:42] [INFO ]  -1.20E+02	-1.20E+02	-1.438E-05	1.009E-09	-6.68E-05
[16:18:47] [INFO ]  -1.30E+02	-1.30E+02	-1.509E-05	8.737E-10	-7.04E-05
[16:18:53] [INFO ]  -1.40E+02	-1.40E+02	-1.578E-05	1.149E-09	-7.38E-05
[16:18:59] [INFO ]  -1.50E+02	-1.50E+02	-1.647E-05	7.171E-10	-7.72E-05
[16:19:04] [INFO ]  -1.60E+02	-1.60E+02	-1.714E-05	7.987E-10	-8.06E-05
[16:19:10] [INFO ]  -1.70E+02	-1.70E+02	-1.780E-05	9.281E-10	-8.39E-05
[16:19:15] [INFO ]  -1.80E+02	-1.80E+02	-1.845E-05	7.604E-10	-8.72E-05
[16:19:21] [INFO ]  -1.90E+02	-1.90E+02	-1.909E-05	1.041E-09	-9.05E-05
[16:19:27] [INFO ]  -2.00E+02	-2.00E+02	-1.972E-05	1.064E-09	-9.37E-05
[16:19:33] [INFO ]  -2.10E+02	-2.10E+02	-2.034E-05	1.262E-09	-9.69E-05
[16:19:38] [INFO ]  -2.20E+02	-2.20E+02	-2.096E-05	6.941E-10	-1.00E-04
[16:19:45] [INFO ]  -2.30E+02	-2.30E+02	-2.157E-05	1.080E-09	-1.03E-04
[16:19:50] [INFO ]  -2.40E+02	-2.40E+02	-2.218E-05	3.134E-10	-1.06E-04
[16:19:56] [INFO ]  -2.50E+02	-2.50E+02	-2.278E-05	3.997E-10	-1.10E-04
[16:20:02] [INFO ]  -2.60E+02	-2.60E+02	-2.337E-05	5.390E-10	-1.13E-04
[16:20:07] [INFO ]  -2.70E+02	-2.70E+02	-2.397E-05	4.040E-10	-1.16E-04
[16:20:13] [INFO ]  -2.80E+02	-2.80E+02	-2.456E-05	1.096E-09	-1.19E-04
[16:20:19] [INFO ]  -2.90E+02	-2.90E+02	-2.515E-05	9.105E-10	-1.22E-04
[16:20:24] [INFO ]  -3.00E+02	-3.00E+02	-2.573E-05	1.818E-09	-1.25E-04
[16:20:30] [INFO ]  -3.10E+02	-3.10E+02	-2.632E-05	2.821E-10	-1.28E-04
[16:20:35] [INFO ]  -3.20E+02	-3.20E+02	-2.690E-05	6.800E-10	-1.31E-04
[16:20:41] [INFO ]  -3.30E+02	-3.30E+02	-2.748E-05	1.151E-09	-1.35E-04
[16:20:47] [INFO ]  -3.40E+02	-3.40E+02	-2.807E-05	1.020E-09	-1.38E-04
[16:20:52] [INFO ]  -3.50E+02	-3.50E+02	-2.865E-05	1.253E-09	-1.41E-04
[16:20:58] [INFO ]  -3.60E+02	-3.60E+02	-2.923E-05	7.339E-10	-1.44E-04
