# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-1.00000E+01	2.61531E-06	3.49963E-06	4.04301E-09	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	4.99982E-01	3.60118E-06	2.69503E-10	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	9.99996E-01	3.71023E-06	1.54578E-10	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	1.49997E+00	3.81934E-06	1.73077E-11	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	1.99999E+00	3.92732E-06	4.64495E-11	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	2.50006E+00	4.03301E-06	7.16147E-11	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	2.99997E+00	4.13663E-06	9.20145E-12	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	3.49996E+00	4.23882E-06	1.15265E-10	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	4.00018E+00	4.33793E-06	1.48715E-10	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	4.50003E+00	4.43612E-06	6.94422E-12	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-1.00000E+01	4.99994E+00	4.53239E-06	3.19305E-11	4.96805E+06	4.83239E+06	2.39053E+04	7.11574E+05	-1.62064E-05
-2.00000E+01	-1.36517E-06	5.15691E-06	4.17213E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	4.99977E-01	5.24653E-06	3.04302E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	9.99994E-01	5.33468E-06	1.41421E-12	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	1.49997E+00	5.42202E-06	2.06774E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	1.99999E+00	5.50833E-06	3.34166E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	2.50005E+00	5.59349E-06	1.84932E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	2.99995E+00	5.67722E-06	2.71457E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	3.49993E+00	5.75952E-06	2.22261E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	4.00016E+00	5.84183E-06	4.36425E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	4.49999E+00	5.92164E-06	6.17108E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-2.00000E+01	4.99993E+00	6.00037E-06	2.85229E-11	5.89095E+06	5.96944E+06	2.89969E+04	3.73931E+05	-2.33604E-05
-3.00000E+01	-1.25152E-06	6.46328E-06	1.31038E-10	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	4.99979E-01	6.54299E-06	5.04667E-11	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	9.99996E-01	6.62280E-06	3.98581E-11	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	1.49997E+00	6.70154E-06	3.88416E-11	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	1.99999E+00	6.77931E-06	1.04397E-10	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	2.50005E+00	6.85534E-06	8.41441E-11	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	2.99995E+00	6.93127E-06	2.02704E-11	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	3.49995E+00	7.00453E-06	1.24693E-10	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	4.00018E+00	7.07844E-06	1.39505E-10	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	4.50000E+00	7.15084E-06	4.80208E-11	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-3.00000E+01	4.99994E+00	7.22269E-06	1.13567E-10	6.52960E+06	6.62053E+06	3.74201E+04	7.44046E+04	-2.90806E-05
-4.00000E+01	-1.14422E-07	7.60845E-06	5.38970E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.99978E-01	7.68361E-06	4.10718E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	9.99995E-01	7.75837E-06	4.00028E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	1.49997E+00	7.83248E-06	3.65361E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	1.99999E+00	7.90572E-06	1.42361E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	2.50005E+00	7.97745E-06	6.14293E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	2.99994E+00	8.04952E-06	1.21864E-10	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	3.49997E+00	8.11792E-06	1.14351E-10	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.00015E+00	8.18737E-06	7.64373E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.50004E+00	8.25513E-06	2.17460E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.99993E+00	8.32152E-06	6.04281E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-5.00000E+01	3.97282E-07	8.64107E-06	1.11539E-10	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	4.99980E-01	8.71331E-06	2.85929E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
