[16:30:19] [INFO ]  ------------------------------------------
[16:30:19] [INFO ]  Interpad Resistance
[16:30:19] [INFO ]  ------------------------------------------
[16:30:19] [INFO ]  Measure interpad resistance
[16:30:19] [INFO ]  	
[16:30:19] [INFO ]  Start date          : 2022/03/22 16:30:19
[16:30:19] [INFO ]  User                : silicon
[16:30:19] [INFO ]  Host                : HGC-PC
[16:30:19] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[16:30:19] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_163019/log.txt
[16:30:19] [INFO ]  	
[16:30:19] [INFO ]  Initialising device.
[16:30:20] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[16:30:20] [INFO ]  Initialising device.
[16:30:20] [INFO ]  KEITHLEY INSTRUMENTS,MODEL 2470,04485245,1.7.5b
[16:30:20] [INFO ]  Measurement Settings:
[16:30:20] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[16:30:20] [INFO ]  Power Supply current limit:      1.00E-03 A
[16:30:20] [INFO ]  Voltage Delay:                       2.00 s
[16:30:20] [INFO ]  	
[16:30:20] [INFO ]  	
[16:30:20] [INFO ]  Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
[16:30:20] [INFO ]  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[16:30:50] [INFO ]  -1.00E+01	2.62E-06	3.4996E-06	4.04E-09	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	5.00E-01	3.6012E-06	2.70E-10	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	1.00E+00	3.7102E-06	1.55E-10	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	1.50E+00	3.8193E-06	1.73E-11	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	2.00E+00	3.9273E-06	4.64E-11	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	2.50E+00	4.0330E-06	7.16E-11	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	3.00E+00	4.1366E-06	9.20E-12	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	3.50E+00	4.2388E-06	1.15E-10	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	4.00E+00	4.3379E-06	1.49E-10	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	4.50E+00	4.4361E-06	6.94E-12	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:30:50] [INFO ]  -1.00E+01	5.00E+00	4.5324E-06	3.19E-11	4.97E+06	4.83E+06	2.39E+04	7.12E+05	-1.62E-05
[16:31:21] [INFO ]  -2.00E+01	-1.37E-06	5.1569E-06	4.17E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	5.00E-01	5.2465E-06	3.04E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	1.00E+00	5.3347E-06	1.41E-12	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	1.50E+00	5.4220E-06	2.07E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	2.00E+00	5.5083E-06	3.34E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	2.50E+00	5.5935E-06	1.85E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	3.00E+00	5.6772E-06	2.71E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	3.50E+00	5.7595E-06	2.22E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	4.00E+00	5.8418E-06	4.36E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	4.50E+00	5.9216E-06	6.17E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:21] [INFO ]  -2.00E+01	5.00E+00	6.0004E-06	2.85E-11	5.89E+06	5.97E+06	2.90E+04	3.74E+05	-2.34E-05
[16:31:52] [INFO ]  -3.00E+01	-1.25E-06	6.4633E-06	1.31E-10	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	5.00E-01	6.5430E-06	5.05E-11	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	1.00E+00	6.6228E-06	3.99E-11	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	1.50E+00	6.7015E-06	3.88E-11	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	2.00E+00	6.7793E-06	1.04E-10	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	2.50E+00	6.8553E-06	8.41E-11	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	3.00E+00	6.9313E-06	2.03E-11	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	3.50E+00	7.0045E-06	1.25E-10	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	4.00E+00	7.0784E-06	1.40E-10	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	4.50E+00	7.1508E-06	4.80E-11	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:31:52] [INFO ]  -3.00E+01	5.00E+00	7.2227E-06	1.14E-10	6.53E+06	6.62E+06	3.74E+04	7.44E+04	-2.91E-05
[16:32:23] [INFO ]  -4.00E+01	-1.14E-07	7.6085E-06	5.39E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	5.00E-01	7.6836E-06	4.11E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	1.00E+00	7.7584E-06	4.00E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	1.50E+00	7.8325E-06	3.65E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	2.00E+00	7.9057E-06	1.42E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	2.50E+00	7.9775E-06	6.14E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	3.00E+00	8.0495E-06	1.22E-10	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	3.50E+00	8.1179E-06	1.14E-10	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	4.00E+00	8.1874E-06	7.64E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	4.50E+00	8.2551E-06	2.17E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:23] [INFO ]  -4.00E+01	5.00E+00	8.3215E-06	6.04E-11	7.12E+06	7.05E+06	3.34E+04	2.00E+05	-3.42E-05
[16:32:54] [INFO ]  -5.00E+01	3.97E-07	8.6411E-06	1.12E-10	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	5.00E-01	8.7133E-06	2.86E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	1.00E+00	8.7843E-06	7.38E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	1.50E+00	8.8570E-06	5.16E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	2.00E+00	8.9269E-06	4.39E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	2.50E+00	8.9961E-06	2.15E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	3.00E+00	9.0641E-06	4.71E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	3.50E+00	9.1317E-06	5.01E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	4.00E+00	9.1976E-06	5.05E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	4.50E+00	9.2616E-06	2.52E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:32:54] [INFO ]  -5.00E+01	5.00E+00	9.3251E-06	2.17E-11	7.43E+06	7.35E+06	5.38E+04	2.18E+05	-3.89E-05
[16:33:25] [INFO ]  -6.00E+01	5.68E-07	9.5887E-06	8.34E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	5.00E-01	9.6594E-06	1.70E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	1.00E+00	9.7292E-06	8.12E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	1.50E+00	9.7990E-06	4.65E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	2.00E+00	9.8674E-06	5.26E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	2.50E+00	9.9366E-06	2.10E-10	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	3.00E+00	1.0002E-05	3.56E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	3.50E+00	1.0067E-05	3.09E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	4.00E+00	1.0132E-05	2.01E-10	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	4.50E+00	1.0195E-05	4.55E-11	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:25] [INFO ]  -6.00E+01	5.00E+00	1.0258E-05	1.05E-10	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:56] [INFO ]  -7.00E+01	-2.33E-06	1.0481E-05	1.28E-10	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	5.00E-01	1.0552E-05	8.22E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	1.00E+00	1.0622E-05	2.16E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	1.50E+00	1.0691E-05	5.44E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	2.00E+00	1.0759E-05	4.03E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	2.50E+00	1.0825E-05	4.78E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	3.00E+00	1.0891E-05	9.18E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	3.50E+00	1.0957E-05	4.64E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	4.00E+00	1.1021E-05	3.09E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	4.50E+00	1.1083E-05	2.00E-10	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	5.00E+00	1.1143E-05	7.04E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:34:28] [INFO ]  -8.00E+01	-3.87E-06	1.1333E-05	1.31E-10	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	5.00E-01	1.1402E-05	7.32E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	1.00E+00	1.1470E-05	2.49E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	1.50E+00	1.1538E-05	1.10E-10	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	2.00E+00	1.1605E-05	1.03E-10	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
