# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-1.00000E+01	-1.00008E+01	5.00000E+02	1.87764E+04	5.07846E+02	-7.28844E+06	6.31145E+02	4.36733E-11	4.36730E-11	-7.42741E-06
-1.00000E+01	-1.00008E+01	1.00000E+03	5.64348E+03	7.26298E+01	-3.64612E+06	7.40270E+01	4.36505E-11	4.36504E-11	-7.42741E-06
-1.00000E+01	-1.00008E+01	1.00000E+04	2.24042E+02	1.44884E+00	-3.65139E+05	1.46969E+00	4.35875E-11	4.35875E-11	-7.42741E-06
-2.00000E+01	-1.25327E+01	5.00000E+02	1.48428E+04	1.08283E+03	-7.29191E+06	7.55497E+02	4.36525E-11	4.36523E-11	-5.16813E-05
-2.00000E+01	-1.25327E+01	1.00000E+03	4.57460E+03	3.51798E+02	-3.64785E+06	1.43304E+02	4.36298E-11	4.36297E-11	-5.16813E-05
-2.00000E+01	-1.25327E+01	1.00000E+04	2.31017E+02	1.08068E+00	-3.65128E+05	1.41421E+00	4.35888E-11	4.35888E-11	-5.16813E-05
-3.00000E+01	-2.99201E+01	5.00000E+02	1.74342E+04	6.38039E+02	-7.29171E+06	1.28266E+03	4.36536E-11	4.36534E-11	-1.57667E-05
-3.00000E+01	-2.99201E+01	1.00000E+03	5.10961E+03	9.79448E+01	-3.64743E+06	6.64530E+01	4.36348E-11	4.36347E-11	-1.57667E-05
-3.00000E+01	-2.99201E+01	1.00000E+04	2.29838E+02	1.69956E+00	-3.65137E+05	1.01980E+00	4.35878E-11	4.35878E-11	-1.57667E-05
-4.00000E+01	-3.99233E+01	5.00000E+02	1.75411E+04	1.17883E+03	-7.29130E+06	7.67948E+02	4.36561E-11	4.36558E-11	-1.87563E-05
-4.00000E+01	-3.99233E+01	1.00000E+03	5.11717E+03	1.31699E+02	-3.64736E+06	9.78979E+01	4.36356E-11	4.36355E-11	-1.87563E-05
-4.00000E+01	-3.99233E+01	1.00000E+04	2.29747E+02	1.86071E+00	-3.65135E+05	1.78885E+00	4.35880E-11	4.35880E-11	-1.87563E-05
-5.00000E+01	-4.99317E+01	5.00000E+02	1.75908E+04	3.89764E+02	-7.29162E+06	9.56523E+02	4.36542E-11	4.36540E-11	-2.15491E-05
-5.00000E+01	-4.99317E+01	1.00000E+03	5.08236E+03	7.47657E+01	-3.64735E+06	1.42688E+02	4.36358E-11	4.36357E-11	-2.15491E-05
-5.00000E+01	-4.99317E+01	1.00000E+04	2.29050E+02	1.31554E+00	-3.65134E+05	1.26491E+00	4.35881E-11	4.35881E-11	-2.15491E-05
-6.00000E+01	-5.99135E+01	5.00000E+02	1.74124E+04	8.18328E+02	-7.29132E+06	7.64748E+02	4.36560E-11	4.36558E-11	-2.41829E-05
-6.00000E+01	-5.99135E+01	1.00000E+03	5.08024E+03	3.45784E+01	-3.64740E+06	1.47105E+02	4.36352E-11	4.36351E-11	-2.41829E-05
-6.00000E+01	-5.99135E+01	1.00000E+04	2.29876E+02	1.76673E+00	-3.65135E+05	1.62481E+00	4.35880E-11	4.35880E-11	-2.41829E-05
-7.00000E+01	-6.99205E+01	5.00000E+02	1.73213E+04	1.09386E+03	-7.29215E+06	3.02523E+02	4.36510E-11	4.36508E-11	-2.67326E-05
-7.00000E+01	-6.99205E+01	1.00000E+03	5.09998E+03	6.67202E+01	-3.64733E+06	4.31741E+01	4.36360E-11	4.36359E-11	-2.67326E-05
-7.00000E+01	-6.99205E+01	1.00000E+04	2.31176E+02	1.88366E+00	-3.65134E+05	1.93907E+00	4.35881E-11	4.35881E-11	-2.67326E-05
-8.00000E+01	-7.99287E+01	5.00000E+02	1.78175E+04	6.64362E+02	-7.29098E+06	8.09207E+02	4.36580E-11	4.36578E-11	-2.92116E-05
