[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Single CV Measurement
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Start date          : 2022/03/22 14:44:30
[14:44:30] [INFO ]  User                : silicon
[14:44:30] [INFO ]  Host                : HGC-PC
[14:44:30] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:44:30] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/01_20220322_144430/log.txt
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:44:31] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:44:31] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:44:31] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:44:31] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[14:44:31] [INFO ]  Voltage Delay:                       3.00 s
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[14:44:31] [INFO ]  ---------------------------------------------------------------------------------------------------------------------------------------------------
[14:44:37] [INFO ]  -1.00E+01	-1.00E+01	5.00E+02	1.88E+04	5.08E+02	-7.29E+06	6.31E+02	4.367E-11	4.367E-11	-7.43E-06
[14:44:38] [INFO ]  -1.00E+01	-1.00E+01	1.00E+03	5.64E+03	7.26E+01	-3.65E+06	7.40E+01	4.365E-11	4.365E-11	-7.43E-06
[14:44:40] [INFO ]  -1.00E+01	-1.00E+01	1.00E+04	2.24E+02	1.45E+00	-3.65E+05	1.47E+00	4.359E-11	4.359E-11	-7.43E-06
[14:44:46] [INFO ]  -2.00E+01	-1.25E+01	5.00E+02	1.48E+04	1.08E+03	-7.29E+06	7.55E+02	4.365E-11	4.365E-11	-5.17E-05
[14:44:47] [INFO ]  -2.00E+01	-1.25E+01	1.00E+03	4.57E+03	3.52E+02	-3.65E+06	1.43E+02	4.363E-11	4.363E-11	-5.17E-05
[14:44:49] [INFO ]  -2.00E+01	-1.25E+01	1.00E+04	2.31E+02	1.08E+00	-3.65E+05	1.41E+00	4.359E-11	4.359E-11	-5.17E-05
[14:44:55] [INFO ]  -3.00E+01	-2.99E+01	5.00E+02	1.74E+04	6.38E+02	-7.29E+06	1.28E+03	4.365E-11	4.365E-11	-1.58E-05
[14:44:56] [INFO ]  -3.00E+01	-2.99E+01	1.00E+03	5.11E+03	9.79E+01	-3.65E+06	6.65E+01	4.363E-11	4.363E-11	-1.58E-05
[14:44:57] [INFO ]  -3.00E+01	-2.99E+01	1.00E+04	2.30E+02	1.70E+00	-3.65E+05	1.02E+00	4.359E-11	4.359E-11	-1.58E-05
[14:45:03] [INFO ]  -4.00E+01	-3.99E+01	5.00E+02	1.75E+04	1.18E+03	-7.29E+06	7.68E+02	4.366E-11	4.366E-11	-1.88E-05
[14:45:05] [INFO ]  -4.00E+01	-3.99E+01	1.00E+03	5.12E+03	1.32E+02	-3.65E+06	9.79E+01	4.364E-11	4.364E-11	-1.88E-05
[14:45:06] [INFO ]  -4.00E+01	-3.99E+01	1.00E+04	2.30E+02	1.86E+00	-3.65E+05	1.79E+00	4.359E-11	4.359E-11	-1.88E-05
[14:45:12] [INFO ]  -5.00E+01	-4.99E+01	5.00E+02	1.76E+04	3.90E+02	-7.29E+06	9.57E+02	4.365E-11	4.365E-11	-2.15E-05
[14:45:13] [INFO ]  -5.00E+01	-4.99E+01	1.00E+03	5.08E+03	7.48E+01	-3.65E+06	1.43E+02	4.364E-11	4.364E-11	-2.15E-05
