# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-1.00000E+01	-9.55030E+00	1.00000E+04	4.42410E-11	8.54948E-15	3.25662E+07	1.25865E+06	-9.19509E-06
-1.00000E+01	-9.55030E+00	1.00000E+05	4.48274E-11	1.41421E-16	4.19327E+06	1.24529E+03	-9.19509E-06
-1.00000E+01	-9.55030E+00	1.00000E+06	4.47358E-11	7.08237E-16	2.27292E+05	9.93640E+01	-9.19509E-06
-2.00000E+01	-2.00001E+01	1.00000E+04	4.43250E-11	6.81334E-15	3.14313E+07	4.17530E+05	-1.40420E-05
-2.00000E+01	-2.00001E+01	1.00000E+05	4.48276E-11	1.16619E-16	4.19239E+06	1.05004E+03	-1.40420E-05
-2.00000E+01	-2.00001E+01	1.00000E+06	4.47359E-11	5.91946E-16	2.27340E+05	1.27905E+02	-1.40420E-05
-3.00000E+01	-2.99192E+01	1.00000E+04	4.42888E-11	1.00167E-14	3.45020E+07	6.93722E+05	-1.75773E-05
-3.00000E+01	-2.99192E+01	1.00000E+05	4.48274E-11	1.62481E-16	4.19225E+06	6.35893E+02	-1.75773E-05
-3.00000E+01	-2.99192E+01	1.00000E+06	4.47357E-11	5.63560E-16	2.27329E+05	7.91672E+01	-1.75773E-05
-4.00000E+01	-3.99240E+01	1.00000E+04	4.42905E-11	5.97441E-15	3.50118E+07	2.42733E+05	-2.07496E-05
-4.00000E+01	-3.99240E+01	1.00000E+05	4.48274E-11	1.16619E-16	4.19253E+06	8.77437E+02	-2.07496E-05
-4.00000E+01	-3.99240E+01	1.00000E+06	4.47359E-11	3.96989E-16	2.27324E+05	1.20641E+02	-2.07496E-05
-5.00000E+01	-4.99312E+01	1.00000E+04	4.42866E-11	1.48450E-14	3.53051E+07	8.16609E+05	-2.36530E-05
-5.00000E+01	-4.99312E+01	1.00000E+05	4.48273E-11	8.00000E-17	4.19170E+06	1.74897E+03	-2.36530E-05
-5.00000E+01	-4.99312E+01	1.00000E+06	4.47359E-11	6.07947E-16	2.27347E+05	8.93770E+01	-2.36530E-05
-6.00000E+01	-5.99109E+01	1.00000E+04	4.42892E-11	1.07912E-14	3.36180E+07	3.11515E+05	-2.63691E-05
-6.00000E+01	-5.99109E+01	1.00000E+05	4.48275E-11	1.62481E-16	4.19393E+06	1.79347E+03	-2.63691E-05
-6.00000E+01	-5.99109E+01	1.00000E+06	4.47358E-11	7.14423E-16	2.27336E+05	1.19066E+02	-2.63691E-05
-7.00000E+01	-6.99165E+01	1.00000E+04	4.43033E-11	1.12509E-14	3.45266E+07	1.19499E+06	-2.89683E-05
-7.00000E+01	-6.99165E+01	1.00000E+05	4.48274E-11	2.41661E-16	4.19397E+06	7.26047E+02	-2.89683E-05
-7.00000E+01	-6.99165E+01	1.00000E+06	4.47359E-11	4.58694E-16	2.27379E+05	8.63745E+01	-2.89683E-05
-8.00000E+01	-7.99258E+01	1.00000E+04	4.42884E-11	6.95511E-15	3.42653E+07	1.38626E+06	-3.14531E-05
-8.00000E+01	-7.99258E+01	1.00000E+05	4.48275E-11	4.89898E-17	4.19361E+06	8.42696E+02	-3.14531E-05
-8.00000E+01	-7.99258E+01	1.00000E+06	4.47359E-11	5.83095E-16	2.27454E+05	1.30367E+02	-3.14531E-05
-9.00000E+01	-8.99149E+01	1.00000E+04	4.42979E-11	1.35901E-14	3.38214E+07	6.98171E+05	-3.38708E-05
-9.00000E+01	-8.99149E+01	1.00000E+05	4.48276E-11	1.85472E-16	4.19344E+06	1.32645E+03	-3.38708E-05
-9.00000E+01	-8.99149E+01	1.00000E+06	4.47358E-11	8.14862E-16	2.27365E+05	1.32149E+02	-3.38708E-05
-1.00000E+02	-9.99250E+01	1.00000E+04	4.42947E-11	1.00011E-14	3.55242E+07	1.19687E+06	-3.62376E-05
-1.00000E+02	-9.99250E+01	1.00000E+05	4.48273E-11	8.94427E-17	4.19266E+06	1.24180E+03	-3.62376E-05
