[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Single CV Measurement
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Multiple measurements of IV over a longer period.
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Start date          : 2022/03/22 14:27:35
[14:27:35] [INFO ]  User                : silicon
[14:27:35] [INFO ]  Host                : HGC-PC
[14:27:35] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:27:35] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/00_20220322_142735/log.txt
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:27:36] [INFO ]  Measurement Settings:
[14:27:36] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:27:36] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:27:36] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:27:36] [INFO ]  Voltage Delay:                       3.00 s
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:27:36] [INFO ]  ------------------------------------------------------------------------------------------------------------------------------------------
[14:27:41] [INFO ]  -1.00E+01	-9.55E+00	1.00E+04	4.4241E-11	8.55E-15	3.26E+07	1.26E+06	-9.20E-06
[14:27:42] [INFO ]  -1.00E+01	-9.55E+00	1.00E+05	4.4827E-11	1.41E-16	4.19E+06	1.25E+03	-9.20E-06
[14:27:42] [INFO ]  -1.00E+01	-9.55E+00	1.00E+06	4.4736E-11	7.08E-16	2.27E+05	9.94E+01	-9.20E-06
[14:27:48] [INFO ]  -2.00E+01	-2.00E+01	1.00E+04	4.4325E-11	6.81E-15	3.14E+07	4.18E+05	-1.40E-05
[14:27:48] [INFO ]  -2.00E+01	-2.00E+01	1.00E+05	4.4828E-11	1.17E-16	4.19E+06	1.05E+03	-1.40E-05
[14:27:49] [INFO ]  -2.00E+01	-2.00E+01	1.00E+06	4.4736E-11	5.92E-16	2.27E+05	1.28E+02	-1.40E-05
[14:27:54] [INFO ]  -3.00E+01	-2.99E+01	1.00E+04	4.4289E-11	1.00E-14	3.45E+07	6.94E+05	-1.76E-05
[14:27:55] [INFO ]  -3.00E+01	-2.99E+01	1.00E+05	4.4827E-11	1.62E-16	4.19E+06	6.36E+02	-1.76E-05
[14:27:55] [INFO ]  -3.00E+01	-2.99E+01	1.00E+06	4.4736E-11	5.64E-16	2.27E+05	7.92E+01	-1.76E-05
[14:28:01] [INFO ]  -4.00E+01	-3.99E+01	1.00E+04	4.4290E-11	5.97E-15	3.50E+07	2.43E+05	-2.07E-05
[14:28:02] [INFO ]  -4.00E+01	-3.99E+01	1.00E+05	4.4827E-11	1.17E-16	4.19E+06	8.77E+02	-2.07E-05
[14:28:02] [INFO ]  -4.00E+01	-3.99E+01	1.00E+06	4.4736E-11	3.97E-16	2.27E+05	1.21E+02	-2.07E-05
[14:28:08] [INFO ]  -5.00E+01	-4.99E+01	1.00E+04	4.4287E-11	1.48E-14	3.53E+07	8.17E+05	-2.37E-05
[14:28:08] [INFO ]  -5.00E+01	-4.99E+01	1.00E+05	4.4827E-11	8.00E-17	4.19E+06	1.75E+03	-2.37E-05
